,summary,Winter,Energie,Krieg,Krise,word
bild friedenszeit,2.0483260398077556,0.05528655812195334,0.4397407274170983,-0.2392232843956442,-0.031920073593352735,bild friedenszeit
Mordversuch,2.0408457406142997,0.058945151078652634,0.4309819995663906,-0.235564691438945,-0.028261480636653406,Mordversuch
friedenszeit mordversuch,2.0408457406142997,0.058945151078652634,0.4309819995663906,-0.235564691438945,-0.028261480636653406,friedenszeit mordversuch
unmittelbar,2.9313036295873154,1.2051407294145298,0.06221993981410509,-0.5976476396174637,-0.39034442881517223,unmittelbar
mordversuch unmittelbar,2.0368604403746837,0.060899829190138255,0.4262575661041095,-0.23361001332745934,-0.026306802525167875,mordversuch unmittelbar
dokumentieren,2.033827473737658,0.062389978895669856,0.42263459243970614,-0.23211986362192782,-0.024816652819636253,dokumentieren
unmittelbar dokumentier,2.033827473737658,0.062389978895669856,0.42263459243970614,-0.23211986362192782,-0.024816652819636253,unmittelbar dokumentier
dokumentier aufnahme,2.0285916587506083,0.06496766362754454,0.4163234911884342,-0.2295421788900529,-0.022238968087761414,dokumentier aufnahme
+10307,2.0248063424660647,0.06683538911800878,0.4117153575612017,-0.22767445339958872,-0.020371242597297255,+10307
aufnahme +10307,2.0248063424660647,0.06683538911800878,0.4117153575612017,-0.22767445339958872,-0.020371242597297255,aufnahme +10307
+10307 chars,2.0233081794453103,0.06757556733235753,0.4098808737545109,-0.22693427518524018,-0.019631064382948513,+10307 chars
Energieschock,2.2111516702907084,-0.021204045820287405,-0.10874232647412908,-0.31571388833788483,0.5914424507317273,Energieschock
energieschock die,2.2387433000498898,-0.033605229915846205,-0.12114351056968807,-0.3281150724334438,0.6139541581677022,energieschock die
regierung gut,2.2845235834140345,-0.053848053442500425,-0.14138633409634224,-0.3483578959600981,0.6490781493587264,regierung gut
gut politik,2.309197427111739,-0.06459057826045257,-0.15212885891429437,-0.35910042077805016,0.6669518168531976,gut politik
politik krise,2.3846334042089854,-0.09673595184556714,-0.18427423249940894,-0.39124579436316487,0.7175369895626627,politik krise
krise der,2.4703571973281533,-0.13205330273388216,-0.21959158338772392,-0.4265631452514798,0.7686077367657526,krise der
winter hart,3.3849094471916894,-0.44701770305424904,-0.5345559837080908,-0.7415275455718467,1.086484160700013,winter hart
hart inflation,4.900433612918482,-0.8170142418804404,-0.9045525225342822,-1.111524084398038,1.2914455867957644,hart inflation
hoch umsatz,3.0342123323990826,-0.33764241103513154,-0.4251806916889732,-0.6321522535527292,0.9976363037686876,hoch umsatz
umsatz schrumpf,2.926981585456421,-0.30166226466796714,-0.3892005453218089,-0.5961721071855649,0.9642298021236502,umsatz schrumpf
zielgenaue,2.7337641590583552,-0.23337002059593337,-0.32090830124977526,-0.5278798631135311,0.8938731122712362,zielgenaue
jetzt zielgenau,2.7337641590583552,-0.23337002059593337,-0.32090830124977526,-0.5278798631135311,0.8938731122712362,jetzt zielgenau
zielgenau hilfe,2.672882262871283,-0.21084793762134296,-0.29838621827518474,-0.5053577801389406,0.8684004495296965,zielgenau hilfe
hilfe bürger,2.6075900303984003,-0.18611698302128551,-0.27365526367512727,-0.48062682553888314,0.8389637644437674,hilfe bürger
gefragt,2.5968241040348676,-0.1819797481887469,-0.2695180288425887,-0.4764895907063445,0.833880681823732,gefragt
bürger frag,2.5968241040348676,-0.1819797481887469,-0.2695180288425887,-0.4764895907063445,0.833880681823732,bürger frag
frag wirtschaft,2.6124819623477524,-0.18799126114933798,-0.27552954180317984,-0.48250110366693577,0.8412511811734567,frag wirtschaft
vollends,2.650027277890791,-0.20226048173558794,-0.28979876238942975,-0.4967703242531856,0.8583589276100344,vollends
wirtschaft vollends,2.650027277890791,-0.20226048173558794,-0.28979876238942975,-0.4967703242531856,0.8583589276100344,wirtschaft vollends
abstürzt,2.401219448178936,-0.10366725996770283,-0.19120554062154468,-0.3981771024853005,0.7279128370594578,abstürzt
vollends abstürz,2.401219448178936,-0.10366725996770283,-0.19120554062154468,-0.3981771024853005,0.7279128370594578,vollends abstürz
abstürzt.Es,2.163964381709701,0.00036755037319768577,-0.08717073028064412,-0.2941422921444,0.5503269726310035,abstürzt.Es
vollends abstürzt.e,2.163964381709701,0.00036755037319768577,-0.08717073028064412,-0.2941422921444,0.5503269726310035,vollends abstürzt.e
abstürzt.e wirk,2.151454451859884,0.006165349092233443,-0.0813729315616084,-0.2883444934253643,0.5388249154691379,abstürzt.e wirk
Hof…,2.1385124199049157,0.01219899532054923,-0.07533928533329255,-0.2823108471970485,0.5266405026351769,Hof…
wirk hof…,2.1385124199049157,0.01219899532054923,-0.07533928533329255,-0.2823108471970485,0.5266405026351769,wirk hof…
+3715,2.1334286357640475,0.014579078039155214,-0.07295920261468672,-0.2799307644784425,0.521772526814112,+3715
